ZoneSystem,ZoneID,Forecast,Year,Jobs,TotalPopn,HH,PopWorkAge,PopPensionAge,EcActive,In_GLA
Railplan,164,GLA,"2,011","4,157",834,491,568,465,568,TRUE
Railplan,165,GLA,"2,011","7,827",130,81,111,90,111,TRUE
Railplan,166,GLA,"2,011","15,400",78,52,73,63,73,TRUE
Railplan,167,GLA,"2,011","13,194",18,10,15,11,15,TRUE
Railplan,168,GLA,"2,011","9,820",13,8,12,10,12,TRUE
Railplan,169,GLA,"2,011","8,954",12,8,11,9,11,TRUE
Railplan,170,GLA,"2,011","19,943",22,14,20,17,20,TRUE
Railplan,171,GLA,"2,011","13,583",10,7,9,8,9,TRUE
Railplan,172,GLA,"2,011","13,339",66,37,52,44,52,TRUE
Railplan,173,GLA,"2,011","12,294",63,43,53,46,53,TRUE
Railplan,174,GLA,"2,011","8,154",86,59,73,59,73,TRUE
Railplan,175,GLA,"2,011",80,180,82,128,80,128,TRUE
Railplan,176,GLA,"2,011","9,087",272,127,196,126,196,TRUE
Railplan,177,GLA,"2,011","3,464",112,77,96,77,96,TRUE
Railplan,178,GLA,"2,011","2,831",98,67,83,67,83,TRUE
Railplan,179,GLA,"2,011","14,174",167,90,120,88,120,TRUE
Railplan,180,GLA,"2,011","5,940",15,9,14,11,14,TRUE
Railplan,181,GLA,"2,011","15,467",8,5,7,6,7,TRUE
Railplan,182,GLA,"2,011","15,046",13,8,12,10,12,TRUE
Railplan,183,GLA,"2,011","2,542",8,5,8,6,8,TRUE
Railplan,184,GLA,"2,011","31,074",32,21,30,25,30,TRUE
Railplan,185,GLA,"2,011","6,646",291,157,210,154,210,TRUE
Railplan,186,GLA,"2,011","4,989","1,337",788,912,746,912,TRUE
Railplan,187,GLA,"2,011","12,211",104,47,74,46,74,TRUE
Railplan,188,GLA,"2,011","7,937",11,7,10,8,10,TRUE
Railplan,189,GLA,"2,011","25,357",312,231,286,245,286,TRUE
Railplan,190,GLA,"2,011","10,400",195,104,148,125,148,TRUE
Railplan,191,GLA,"2,011","17,601",167,113,139,121,139,TRUE
Railplan,192,GLA,"2,011","12,172",46,21,33,21,33,TRUE
Railplan,193,GLA,"2,011","13,970",301,178,208,170,208,TRUE
Railplan,194,GLA,"2,011","10,488",118,76,102,82,102,TRUE
Railplan,195,GLA,"2,011","19,501",830,514,668,556,668,TRUE
Railplan,196,GLA,"2,011","20,134",158,101,139,118,139,TRUE
Railplan,197,GLA,"2,011","9,886",46,31,39,31,39,TRUE
Railplan,198,GLA,"2,011","13,021",27,15,19,14,19,TRUE
Railplan,199,GLA,"2,011","7,691","1,233",727,841,688,841,TRUE
Railplan,274,GLA,"2,011","21,450",418,145,356,178,356,TRUE
Railplan,275,GLA,"2,011","4,908",247,113,182,131,182,TRUE
Railplan,276,GLA,"2,011","4,656",857,479,639,451,639,TRUE
Railplan,277,GLA,"2,011","5,311",101,59,80,61,80,TRUE
Railplan,278,GLA,"2,011","5,802",98,57,74,56,74,TRUE
Railplan,279,GLA,"2,011","2,332",56,32,42,32,42,TRUE
Railplan,280,GLA,"2,011","21,875",368,198,298,184,298,TRUE
Railplan,281,GLA,"2,011","4,848",291,162,230,142,230,TRUE
Railplan,282,GLA,"2,011","1,702",129,75,106,73,106,TRUE
Railplan,283,GLA,"2,011","5,810",434,259,338,240,338,TRUE
Railplan,284,GLA,"2,011","23,073",588,305,437,303,437,TRUE
Railplan,285,GLA,"2,011","8,699",25,8,21,10,21,TRUE
Railplan,286,GLA,"2,011","11,168",320,192,247,201,247,TRUE
Railplan,287,GLA,"2,011","7,483",660,376,514,370,514,TRUE
Railplan,288,GLA,"2,011","2,797",317,157,268,161,268,TRUE
Railplan,289,GLA,"2,011","9,626",212,121,171,135,171,TRUE
Railplan,290,GLA,"2,011","6,829",232,138,185,144,185,TRUE
Railplan,291,GLA,"2,011","4,262",155,89,117,89,117,TRUE
Railplan,292,GLA,"2,011",956,323,186,244,185,244,TRUE
Railplan,293,GLA,"2,011","27,175",94,51,75,43,75,TRUE
Railplan,294,GLA,"2,011","2,095",750,413,585,353,585,TRUE
Railplan,295,GLA,"2,011","7,131",574,316,447,271,447,TRUE
Railplan,296,GLA,"2,011","5,931",263,151,216,141,216,TRUE
Railplan,297,GLA,"2,011","6,420",322,175,261,174,261,TRUE
Railplan,298,GLA,"2,011","6,529",825,462,673,436,673,TRUE
Railplan,299,GLA,"2,011","8,720",334,195,251,181,251,TRUE
Railplan,360,GLA,"2,011","2,088",441,260,369,256,369,TRUE
Railplan,361,GLA,"2,011","4,163",192,113,163,113,163,TRUE
Railplan,362,GLA,"2,011","4,183",169,99,143,99,143,TRUE
Railplan,363,GLA,"2,011","13,432",268,169,247,167,247,TRUE
Railplan,364,GLA,"2,011","5,020",225,132,189,131,189,TRUE
Railplan,365,GLA,"2,011","5,409",209,137,166,124,166,TRUE
Railplan,366,GLA,"2,011","10,963",89,53,67,49,67,TRUE
Railplan,367,GLA,"2,011","3,883",108,62,79,57,79,TRUE
Railplan,368,GLA,"2,011","1,846",241,140,175,125,175,TRUE
Railplan,369,GLA,"2,011","4,064",103,60,75,53,75,TRUE
Railplan,370,GLA,"2,011","2,922",289,169,211,151,211,TRUE
Railplan,371,GLA,"2,011","9,791",66,42,52,39,52,TRUE
Railplan,372,GLA,"2,011","2,046",194,110,141,99,141,TRUE
Railplan,373,GLA,"2,011","4,190",666,332,553,389,553,TRUE
Railplan,374,GLA,"2,011","11,428",419,216,339,244,339,TRUE
Railplan,375,GLA,"2,011","4,547",310,172,248,198,248,TRUE
Railplan,376,GLA,"2,011","7,315",748,413,592,469,592,TRUE
Railplan,377,GLA,"2,011","1,261",722,390,538,357,538,TRUE
Railplan,378,GLA,"2,011","4,813",981,474,767,416,767,TRUE
Railplan,379,GLA,"2,011","2,462","1,214",647,916,684,916,TRUE
Railplan,380,GLA,"2,011","1,542",343,184,268,191,268,TRUE
Railplan,381,GLA,"2,011","1,036",493,265,389,270,389,TRUE
Railplan,382,GLA,"2,011","3,714",234,134,195,132,195,TRUE
Railplan,383,GLA,"2,011","11,035",231,147,183,137,183,TRUE
Railplan,384,GLA,"2,011","10,754",169,104,128,93,128,TRUE
Railplan,385,GLA,"2,011","3,263",804,459,581,409,581,TRUE
Railplan,386,GLA,"2,011","2,408",503,270,361,243,361,TRUE
Railplan,387,GLA,"2,011","8,174",173,108,158,107,158,TRUE
Railplan,388,GLA,"2,011","5,726","1,311",647,"1,098",768,"1,098",TRUE
Railplan,389,GLA,"2,011","9,270",391,208,306,226,306,TRUE
Railplan,390,GLA,"2,011","5,465",515,281,408,318,408,TRUE
Railplan,391,GLA,"2,011","10,975",799,424,623,457,623,TRUE
Railplan,392,GLA,"2,011","3,554",423,228,315,209,315,TRUE
Railplan,393,GLA,"2,011","1,581","1,441",720,997,660,997,TRUE
Railplan,394,GLA,"2,011","3,105",771,375,601,335,601,TRUE
Railplan,395,GLA,"2,011","3,883","1,579",853,"1,186",924,"1,186",TRUE
Railplan,396,GLA,"2,011",284,433,182,287,160,287,TRUE
Railplan,397,GLA,"2,011","4,879","1,090",586,860,597,860,TRUE
Railplan,398,GLA,"2,011","2,418","1,530",822,"1,207",838,"1,207",TRUE
Railplan,399,GLA,"2,011","4,195","1,584",768,"1,160",763,"1,160",TRUE
Railplan,468,GLA,"2,011",403,"1,633",793,"1,187",921,"1,187",TRUE
Railplan,469,GLA,"2,011",562,"4,332","2,159","2,996","2,022","2,996",TRUE
Railplan,470,GLA,"2,011",454,"1,833",916,"1,273",866,"1,273",TRUE
Railplan,471,GLA,"2,011",179,"1,104",550,764,515,764,TRUE
Railplan,472,GLA,"2,011","1,225",733,377,518,358,518,TRUE
Railplan,473,GLA,"2,011","2,191","2,787","1,406","1,972","1,376","1,972",TRUE
Railplan,474,GLA,"2,011","4,942","2,216","1,093","1,582","1,112","1,582",TRUE
Railplan,475,GLA,"2,011","3,103",651,330,488,364,488,TRUE
Railplan,476,GLA,"2,011","4,444","1,907","1,003","1,300",930,"1,300",TRUE
Railplan,477,GLA,"2,011","5,418","1,741",894,"1,285",890,"1,285",TRUE
Railplan,478,GLA,"2,011","1,938","1,016",459,751,539,751,TRUE
Railplan,479,GLA,"2,011","1,325","1,424",719,929,670,929,TRUE
Railplan,480,GLA,"2,011","10,930",318,102,217,118,217,TRUE
Railplan,481,GLA,"2,011","6,963",420,199,311,221,311,TRUE
Railplan,482,GLA,"2,011","4,722",429,213,290,197,290,TRUE
Railplan,483,GLA,"2,011","1,477","3,464","1,681","2,518","1,956","2,518",TRUE
Railplan,484,GLA,"2,011",843,"3,281","1,637","2,268","1,533","2,268",TRUE
Railplan,485,GLA,"2,011",919,"2,812","1,492","1,985","1,287","1,985",TRUE
Railplan,486,GLA,"2,011","8,632","2,864","1,496","2,021","1,388","2,021",TRUE
Railplan,487,GLA,"2,011","1,348","1,310",657,927,649,927,TRUE
Railplan,488,GLA,"2,011","1,214","1,090",554,817,611,817,TRUE
Railplan,489,GLA,"2,011","4,063",712,375,479,344,479,TRUE
Railplan,490,GLA,"2,011","12,605","1,414",706,"1,042",709,"1,042",TRUE
Railplan,491,GLA,"2,011","3,493","1,631",729,"1,205",868,"1,205",TRUE
Railplan,492,GLA,"2,011","9,067",891,384,685,408,685,TRUE
Railplan,493,GLA,"2,011","2,363","1,804",919,"1,171",847,"1,171",TRUE
Railplan,494,GLA,"2,011","16,313",127,40,92,47,92,TRUE
Railplan,495,GLA,"2,011","5,442",270,139,200,139,200,TRUE
Railplan,496,GLA,"2,011","5,651",417,186,308,222,308,TRUE
Railplan,497,GLA,"2,011",138,267,126,188,137,188,TRUE
Railplan,498,GLA,"2,011","4,201",420,192,280,193,280,TRUE
Railplan,499,GLA,"2,011","4,849","1,082",567,751,508,751,TRUE
Railplan,581,GLA,"2,011","2,676",277,145,193,130,193,TRUE
Railplan,582,GLA,"2,011","1,136","1,837",947,"1,381",895,"1,381",TRUE
Railplan,583,GLA,"2,011","1,058","1,941",930,"1,427",784,"1,427",TRUE
Railplan,584,GLA,"2,011","2,172","1,361",689,"1,055",605,"1,055",TRUE
Railplan,585,GLA,"2,011","1,029",526,269,411,237,411,TRUE
Railplan,586,GLA,"2,011","4,405",565,288,442,255,442,TRUE
Railplan,587,GLA,"2,011","4,611",817,420,638,379,638,TRUE
Railplan,588,GLA,"2,011","2,488","1,044",451,736,443,736,TRUE
Railplan,589,GLA,"2,011","4,307","2,673",830,"2,131",792,"2,131",TRUE
Railplan,590,GLA,"2,011","4,480",556,184,455,218,455,TRUE
Railplan,591,GLA,"2,011","2,919","1,330",685,"1,006",657,"1,006",TRUE
Railplan,592,GLA,"2,011","3,436",963,517,760,504,760,TRUE
Railplan,593,GLA,"2,011","2,134","1,170",595,880,569,880,TRUE
Railplan,594,GLA,"2,011","9,352","1,940",992,"1,504",956,"1,504",TRUE
Railplan,595,GLA,"2,011","1,039","2,209","1,092","1,587",793,"1,587",TRUE
Railplan,596,GLA,"2,011","1,840","1,079",524,794,438,794,TRUE
Railplan,597,GLA,"2,011",463,"1,895",884,"1,329",980,"1,329",TRUE
Railplan,598,GLA,"2,011","2,964","1,157",589,895,505,895,TRUE
Railplan,599,GLA,"2,011","5,640",752,384,588,339,588,TRUE
Railplan,664,GLA,"2,011","1,544","1,384",737,"1,066",744,"1,066",TRUE
Railplan,665,GLA,"2,011","1,440","1,400",715,"1,059",746,"1,059",TRUE
Railplan,666,GLA,"2,011","2,958","4,065","2,071","3,071","2,166","3,071",TRUE
Railplan,667,GLA,"2,011",540,"1,574",838,"1,212",846,"1,212",TRUE
Railplan,668,GLA,"2,011",360,"2,482","1,322","1,911","1,334","1,911",TRUE
Railplan,669,GLA,"2,011","1,377","5,326","2,328","3,684","2,172","3,684",TRUE
Railplan,670,GLA,"2,011","1,102","2,790","1,151","1,720",871,"1,720",TRUE
Railplan,671,GLA,"2,011","1,442","3,878","1,690","2,688","1,571","2,688",TRUE
Railplan,672,GLA,"2,011","1,017","2,707","1,382","2,047","1,443","2,047",TRUE
Railplan,673,GLA,"2,011",145,"2,880","1,467","2,175","1,534","2,175",TRUE
Railplan,674,GLA,"2,011","1,903","5,577","2,427","3,862","2,257","3,861",TRUE
Railplan,675,GLA,"2,011",820,"3,669","1,517","2,267","1,150","2,268",TRUE
Railplan,676,GLA,"2,011",197,"2,817","1,170","1,743",897,"1,744",TRUE
Railplan,677,GLA,"2,011",269,"3,939","1,849","2,798","2,001","2,798",TRUE
Railplan,678,GLA,"2,011",664,"4,675","2,194","3,321","2,374","3,320",TRUE
Railplan,679,GLA,"2,011",574,"4,136","1,941","2,936","2,099","2,936",TRUE
Railplan,680,GLA,"2,011",162,"2,028",952,"1,441","1,030","1,440",TRUE
Railplan,681,GLA,"2,011",116,"1,751",744,"1,191",696,"1,191",TRUE
Railplan,682,GLA,"2,011","1,826","5,599","2,378","3,806","2,226","3,806",TRUE
Railplan,683,GLA,"2,011",697,"6,041","2,566","4,106","2,401","4,106",TRUE
Railplan,684,GLA,"2,011",531,"3,679","1,562","2,501","1,462","2,501",TRUE
Railplan,685,GLA,"2,011",735,"2,105",989,"1,361",920,"1,361",TRUE
Railplan,686,GLA,"2,011",453,"3,165","1,475","2,102","1,367","2,102",TRUE
Railplan,687,GLA,"2,011","2,348","3,619","1,720","2,440","1,649","2,440",TRUE
Railplan,688,GLA,"2,011",716,"1,632",867,"1,255",877,"1,255",TRUE
Railplan,689,GLA,"2,011","1,236","3,200","1,630","2,417","1,705","2,417",TRUE
Railplan,690,GLA,"2,011",637,"3,780","2,009","2,908","2,031","2,908",TRUE
Railplan,691,GLA,"2,011","1,353","1,708",709,"1,059",547,"1,059",TRUE
Railplan,692,GLA,"2,011",819,"3,676","1,873","2,777","1,959","2,777",TRUE
Railplan,693,GLA,"2,011","5,874","4,088","2,036","3,065","1,917","3,065",TRUE
Railplan,694,GLA,"2,011","3,811","4,881","2,037","3,050","1,556","3,050",TRUE
Railplan,695,GLA,"2,011",592,951,447,676,483,676,TRUE
Railplan,696,GLA,"2,011",700,"1,691",794,"1,200",858,"1,200",TRUE
Railplan,697,GLA,"2,011",614,"2,602","1,105","1,768","1,034","1,768",TRUE
Railplan,698,GLA,"2,011","1,843","3,786","1,778","2,444","1,652","2,444",TRUE
Railplan,699,GLA,"2,011",896,"3,920","1,862","2,628","1,771","2,628",TRUE
Railplan,750,GLA,"2,011","1,720",135,64,109,76,109,TRUE
Railplan,779,GLA,"2,011",706,390,135,253,126,253,TRUE
Railplan,780,GLA,"2,011","17,326",56,29,47,37,47,TRUE
Railplan,781,GLA,"2,011",823,"2,761","1,318","2,247","1,599","2,247",TRUE
Railplan,782,GLA,"2,011",262,"1,039",495,839,588,839,TRUE
Railplan,783,GLA,"2,011",457,375,181,318,247,318,TRUE
Railplan,784,GLA,"2,011","2,094",726,351,616,478,616,TRUE
Railplan,785,GLA,"2,011",271,682,312,541,395,541,TRUE
Railplan,786,GLA,"2,011","3,061",684,313,542,396,542,TRUE
Railplan,787,GLA,"2,011",956,"1,536",656,"1,115",742,"1,115",TRUE
Railplan,788,GLA,"2,011",896,"1,959",836,"1,422",946,"1,422",TRUE
Railplan,789,GLA,"2,011",119,"1,849",789,"1,342",893,"1,342",TRUE
Railplan,790,GLA,"2,011",657,"1,778",759,"1,291",859,"1,291",TRUE
Railplan,791,GLA,"2,011","1,374","1,003",428,728,484,728,TRUE
Railplan,792,GLA,"2,011",119,319,136,232,154,232,TRUE
Railplan,793,GLA,"2,011","7,047","2,026",865,"1,471",979,"1,471",TRUE
Railplan,794,GLA,"2,011","4,316","2,397","1,111","1,919","1,348","1,919",TRUE
Railplan,795,GLA,"2,011","1,447","2,026",703,"1,317",663,"1,317",TRUE
Railplan,796,GLA,"2,011",300,"1,644",567,"1,066",532,"1,066",TRUE
Railplan,797,GLA,"2,011",406,"1,544",533,"1,001",500,"1,001",TRUE
Railplan,798,GLA,"2,011",300,"1,491",515,967,483,967,TRUE
Railplan,799,GLA,"2,011",512,"2,009",693,"1,302",651,"1,303",TRUE
Railplan,850,GLA,"2,011",214,927,349,628,353,628,TRUE
Railplan,851,GLA,"2,011","1,058","3,221","1,215","2,181","1,227","2,181",TRUE
Railplan,853,GLA,"2,011",929,"2,345","1,048","1,855","1,306","1,855",TRUE
Railplan,856,GLA,"2,011","1,180","3,590","1,569","2,677","1,841","2,677",TRUE
Railplan,857,GLA,"2,011",189,"2,919","1,161","2,045","1,245","2,045",TRUE
Railplan,858,GLA,"2,011",861,"1,752",661,"1,186",667,"1,186",TRUE
Railplan,859,GLA,"2,011","1,126","3,817","1,439","2,585","1,455","2,585",TRUE
Railplan,860,GLA,"2,011","1,132","3,345","1,261","2,265","1,275","2,265",TRUE
Railplan,862,GLA,"2,011",313,"1,275",474,857,473,857,TRUE
Railplan,863,GLA,"2,011","8,756",589,295,483,364,483,TRUE
Railplan,864,GLA,"2,011","17,326",602,314,508,395,508,TRUE
Railplan,865,GLA,"2,011","29,331",19,10,16,13,16,TRUE
Railplan,866,GLA,"2,011","12,415",3,2,3,2,3,TRUE
Railplan,867,GLA,"2,011","1,634",644,288,509,359,509,TRUE
Railplan,868,GLA,"2,011","1,782",233,104,185,130,185,TRUE
Railplan,869,GLA,"2,011",347,"2,343","1,048","1,854","1,305","1,854",TRUE
Railplan,870,GLA,"2,011",273,248,113,198,141,198,TRUE
Railplan,871,GLA,"2,011",347,"1,158",518,916,645,916,TRUE
Railplan,872,GLA,"2,011",929,"2,596","1,161","2,054","1,447","2,054",TRUE
Railplan,873,GLA,"2,011","2,327","1,211",541,958,675,958,TRUE
Railplan,874,GLA,"2,011",693,"1,696",758,"1,342",945,"1,342",TRUE
Railplan,875,GLA,"2,011",149,"1,245",557,985,694,985,TRUE
Railplan,876,GLA,"2,011",495,"1,931",863,"1,528","1,076","1,528",TRUE
Railplan,877,GLA,"2,011",198,"2,080",930,"1,646","1,159","1,646",TRUE
Railplan,878,GLA,"2,011",208,"1,792",796,"1,402",980,"1,402",TRUE
Railplan,879,GLA,"2,011",446,"1,964",878,"1,554","1,094","1,554",TRUE
Railplan,880,GLA,"2,011","5,864","1,304",575,979,656,979,TRUE
Railplan,881,GLA,"2,011",960,"2,159",833,"1,484",859,"1,484",TRUE
Railplan,882,GLA,"2,011",418,"3,965","1,496","2,685","1,511","2,685",TRUE
Railplan,883,GLA,"2,011",394,"2,997","1,130","2,030","1,142","2,030",TRUE
Railplan,884,GLA,"2,011","1,525","2,114",797,"1,432",806,"1,432",TRUE
Railplan,885,GLA,"2,011",443,"1,739",684,"1,210",717,"1,210",TRUE
Railplan,886,GLA,"2,011",678,"2,350","1,174","1,865","1,449","1,865",TRUE
Railplan,887,GLA,"2,011",623,"1,253",625,992,767,992,TRUE
Railplan,888,GLA,"2,011","2,721",982,435,765,542,765,TRUE
Railplan,889,GLA,"2,011",291,941,477,770,630,770,TRUE
Railplan,890,GLA,"2,011",56,946,479,774,633,774,TRUE
Railplan,891,GLA,"2,011",641,"1,862",879,"1,425","1,038","1,425",TRUE
Railplan,892,GLA,"2,011",612,"1,752",889,"1,441","1,185","1,441",TRUE
Railplan,893,GLA,"2,011","2,790",671,297,592,364,592,TRUE
Railplan,894,GLA,"2,011","4,504",711,315,628,385,628,TRUE
Railplan,895,GLA,"2,011","3,966",570,246,492,298,492,TRUE
Railplan,896,GLA,"2,011","2,061","1,127",540,861,574,861,TRUE
Railplan,897,GLA,"2,011","6,529",266,135,216,178,216,TRUE
Railplan,898,GLA,"2,011","9,593",502,240,453,335,453,TRUE
Railplan,899,GLA,"2,011","3,986",573,254,506,311,506,TRUE
Railplan,940,GLA,"2,011",205,9,4,6,4,6,TRUE
Railplan,944,GLA,"2,011",311,"1,629",682,"1,181",774,"1,181",TRUE
Railplan,945,GLA,"2,011",88,667,230,433,216,433,TRUE
Railplan,946,GLA,"2,011",288,"4,754","1,734","3,169","1,681","3,169",TRUE
Railplan,947,GLA,"2,011",633,"3,011","1,166","2,070","1,166","2,070",TRUE
Railplan,948,GLA,"2,011","1,406",975,414,767,540,767,TRUE
Railplan,949,GLA,"2,011","1,861","2,073",880,"1,633","1,151","1,633",TRUE
Railplan,950,GLA,"2,011",405,"2,713","1,087","1,891","1,126","1,891",TRUE
Railplan,951,GLA,"2,011",390,"3,192","1,173","2,252","1,265","2,252",TRUE
Railplan,952,GLA,"2,011",856,"3,733","1,361","2,670","1,500","2,670",TRUE
Railplan,953,GLA,"2,011",732,"3,257","1,216","2,318","1,324","2,318",TRUE
Railplan,954,GLA,"2,011",594,"3,199","1,333","2,264","1,434","2,264",TRUE
Railplan,955,GLA,"2,011",594,"4,935","2,056","3,494","2,213","3,493",TRUE
Railplan,956,GLA,"2,011",875,"3,351","1,396","2,372","1,502","2,372",TRUE
Railplan,957,GLA,"2,011",335,"2,949","1,232","2,103","1,356","2,102",TRUE
Railplan,958,GLA,"2,011","1,318","3,206","1,199","2,291","1,319","2,291",TRUE
Railplan,959,GLA,"2,011","1,103","5,047","1,835","3,615","2,030","3,615",TRUE
Railplan,960,GLA,"2,011","1,383","4,599","1,620","3,278","1,665","3,278",TRUE
Railplan,961,GLA,"2,011",744,"5,448","1,808","3,846","1,780","3,846",TRUE
Railplan,962,GLA,"2,011","2,016","3,031","1,006","2,140",990,"2,140",TRUE
Railplan,963,GLA,"2,011",910,"3,589","1,208","2,517","1,185","2,517",TRUE
Railplan,964,GLA,"2,011",310,"1,601",531,"1,130",523,"1,130",TRUE
Railplan,965,GLA,"2,011","1,210","4,020","1,334","2,838","1,313","2,838",TRUE
Railplan,966,GLA,"2,011","2,016","4,395","1,468","3,113","1,457","3,113",TRUE
Railplan,967,GLA,"2,011","1,618","1,841",733,"1,307",792,"1,308",TRUE
Railplan,968,GLA,"2,011",754,"4,596","1,829","3,264","1,977","3,265",TRUE
Railplan,969,GLA,"2,011",829,"3,306","1,341","2,350","1,462","2,350",TRUE
Railplan,970,GLA,"2,011",510,"2,260",917,"1,606",999,"1,607",TRUE
Railplan,971,GLA,"2,011","2,730","2,802","1,138","2,003","1,244","2,003",TRUE
Railplan,972,GLA,"2,011",551,"3,215","1,163","2,129","1,090","2,129",TRUE
Railplan,973,GLA,"2,011",751,"3,889","1,407","2,564","1,308","2,564",TRUE
Railplan,974,GLA,"2,011",206,"2,890","1,046","1,916",979,"1,916",TRUE
Railplan,975,GLA,"2,011","5,244","4,307","1,646","3,216","1,895","3,216",TRUE
Railplan,976,GLA,"2,011",874,"1,522",572,"1,117",642,"1,117",TRUE
Railplan,977,GLA,"2,011","5,232","2,352",880,"1,725",990,"1,725",TRUE
Railplan,978,GLA,"2,011","1,017","1,733",702,"1,303",791,"1,303",TRUE
Railplan,979,GLA,"2,011","3,618","2,557",974,"1,977","1,126","1,977",TRUE
Railplan,980,GLA,"2,011","1,707","1,951",738,"1,505",853,"1,505",TRUE
Railplan,981,GLA,"2,011",576,"1,670",632,"1,288",730,"1,288",TRUE
Railplan,982,GLA,"2,011","3,319","3,497","1,323","2,696","1,528","2,696",TRUE
Railplan,983,GLA,"2,011","2,949","1,607",607,"1,234",700,"1,234",TRUE
Railplan,984,GLA,"2,011","1,296","1,745",655,"1,309",729,"1,309",TRUE
Railplan,985,GLA,"2,011","1,563",604,229,466,264,466,TRUE
Railplan,986,GLA,"2,011",545,"2,687","1,035","2,058","1,188","2,058",TRUE
Railplan,987,GLA,"2,011",296,"1,682",690,"1,258",774,"1,258",TRUE
Railplan,988,GLA,"2,011",346,"1,175",481,880,540,880,TRUE
Railplan,989,GLA,"2,011",262,"1,087",438,818,494,818,TRUE
Railplan,990,GLA,"2,011",491,"1,454",596,"1,088",670,"1,087",TRUE
Railplan,991,GLA,"2,011",559,"3,364","1,379","2,515","1,549","2,515",TRUE
Railplan,992,GLA,"2,011",525,"2,356",966,"1,762","1,085","1,762",TRUE
Railplan,993,GLA,"2,011","1,075","3,756","1,540","2,809","1,729","2,809",TRUE
Railplan,994,GLA,"2,011",232,"3,013","1,088","1,984","1,008","1,984",TRUE
Railplan,995,GLA,"2,011","1,954","1,506",563,"1,099",627,"1,099",TRUE
Railplan,996,GLA,"2,011","3,021","1,343",528,"1,071",620,"1,071",TRUE
Railplan,997,GLA,"2,011",813,"2,792","1,145","2,088","1,285","2,087",TRUE
Railplan,998,GLA,"2,011",898,"2,830","1,160","2,115","1,302","2,115",TRUE
Railplan,999,GLA,"2,011",635,"3,158","1,295","2,361","1,454","2,361",TRUE
Railplan,"1,001",GLA,"2,011",414,"1,282",477,921,543,921,TRUE
Railplan,"1,002",GLA,"2,011",81,672,273,487,323,487,TRUE
Railplan,"1,003",GLA,"2,011",136,20,8,14,9,14,TRUE
Railplan,"1,004",GLA,"2,011",14,2,1,1,1,1,TRUE
Railplan,"1,005",GLA,"2,011",205,533,251,463,357,463,TRUE
Railplan,"1,006",GLA,"2,011",440,343,159,292,222,292,TRUE
Railplan,"1,007",GLA,"2,011",163,2,1,1,1,1,TRUE
Railplan,"1,008",GLA,"2,011",54,2,1,1,1,1,TRUE
Railplan,"1,009",GLA,"2,011",27,233,90,164,104,164,TRUE
Railplan,"1,014",GLA,"2,011",46,6,3,5,4,5,TRUE
Railplan,"1,015",GLA,"2,011",205,720,339,625,482,625,TRUE
Railplan,"1,075",GLA,"2,011","1,072","2,701","1,271","2,346","1,807","2,346",TRUE
Railplan,"1,076",GLA,"2,011",379,3,1,2,1,2,TRUE
Railplan,"1,077",GLA,"2,011",178,6,1,4,1,4,TRUE
Railplan,"1,078",GLA,"2,011",92,849,352,613,403,613,TRUE
Railplan,"1,079",GLA,"2,011","1,382","2,809","1,126","2,041","1,243","2,041",TRUE
Railplan,"1,080",GLA,"2,011",65,"1,772",749,"1,275",834,"1,275",TRUE
Railplan,"1,081",GLA,"2,011","1,509",38,13,28,15,28,TRUE
Railplan,"1,082",GLA,"2,011","1,036",316,106,227,123,227,TRUE
Railplan,"1,083",GLA,"2,011","1,817","4,122","1,396","2,786","1,615","2,786",TRUE
Railplan,"1,084",GLA,"2,011",207,"3,513","1,148","2,539","1,318","2,539",TRUE
Railplan,"1,085",GLA,"2,011",902,"2,451",867,"1,713","1,009","1,713",TRUE
Railplan,"1,086",GLA,"2,011","2,109","1,211",393,862,436,862,TRUE
Railplan,"1,087",GLA,"2,011",482,"2,512",898,"1,747","1,045","1,747",TRUE
Railplan,"1,088",GLA,"2,011",271,"2,457",878,"1,708","1,022","1,708",TRUE
Railplan,"1,089",GLA,"2,011",763,"1,136",461,823,545,823,TRUE
Railplan,"1,090",GLA,"2,011",186,332,134,240,159,240,TRUE
Railplan,"1,091",GLA,"2,011","1,670","1,077",498,917,696,917,TRUE
Railplan,"1,092",GLA,"2,011",41,464,188,337,223,337,TRUE
Railplan,"1,093",GLA,"2,011",216,"2,291",820,"1,545",906,"1,545",TRUE
Railplan,"1,094",GLA,"2,011",389,"3,103","1,110","2,087","1,223","2,087",TRUE
Railplan,"1,095",GLA,"2,011",415,"1,841",658,"1,238",725,"1,238",TRUE
Railplan,"1,096",GLA,"2,011",698,673,255,479,300,479,TRUE
Railplan,"1,097",GLA,"2,011",934,"2,942","1,052","1,979","1,159","1,979",TRUE
Railplan,"1,098",GLA,"2,011",726,"2,953","1,056","1,986","1,163","1,986",TRUE
Railplan,"1,099",GLA,"2,011",824,"1,750",668,"1,211",736,"1,211",TRUE
Railplan,"1,111",GLA,"2,011",538,"1,831",798,"1,475",954,"1,475",TRUE
Railplan,"1,112",GLA,"2,011","1,897",108,40,78,47,78,TRUE
Railplan,"1,113",GLA,"2,011",170,"2,302",852,"1,669","1,001","1,669",TRUE
Railplan,"1,155",GLA,"2,011",23,3,1,2,1,2,TRUE
Railplan,"1,156",GLA,"2,011",23,"2,083",771,"1,511",906,"1,510",TRUE
